,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AutomaticPayment,Churn
0,1,1,0,0,14,1,0,1,1,1,0,0,0,0,0,0,0,78.85,1043.8,0.0,0
1,1,0,1,0,25,1,0,1,0,0,1,0,0,0,0,1,0,74.6,1797.75,0.0,0
2,1,0,1,0,37,1,0,0,2,2,2,2,2,2,0,0,2,19.5,805.2,1.0,0
3,1,0,0,0,32,1,0,0,2,2,2,2,2,2,1,0,2,20.55,654.55,1.0,0
4,0,0,0,0,29,1,0,2,1,1,0,1,0,0,1,1,0,58.75,1696.2,0.0,0
5,0,0,1,1,22,1,0,1,0,1,1,0,1,1,1,1,1,100.05,2090.25,0.0,0
6,1,0,1,0,59,1,0,0,2,2,2,2,2,2,1,0,1,20.35,1267.0,0.0,0
7,0,0,1,0,8,1,0,0,2,2,2,2,2,2,0,1,2,19.55,161.15,1.0,0
8,0,0,1,0,28,1,0,2,1,0,0,1,0,0,1,0,1,54.35,1426.45,0.0,0
9,1,0,1,1,23,1,0,0,2,2,2,2,2,2,1,0,1,20.05,415.1,0.0,0
10,1,0,1,0,51,1,1,1,0,0,1,0,1,1,1,1,0,98.85,4947.55,0.0,0
11,0,0,0,0,29,0,2,2,0,1,0,1,0,0,0,0,0,34.3,1004.75,0.0,0
12,0,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,1,45.25,155.35,0.0,0
13,0,0,0,0,4,1,0,0,2,2,2,2,2,2,0,1,0,20.2,55.7,0.0,0
14,0,0,1,0,14,1,1,2,0,0,0,1,1,0,0,1,3,66.6,979.5,1.0,0
15,0,0,1,1,7,0,2,2,1,1,1,0,0,0,2,0,1,38.55,280.0,0.0,0
16,0,0,1,1,54,1,1,0,2,2,2,2,2,2,2,1,2,24.05,1230.9,1.0,0
17,1,0,1,1,14,1,0,2,1,1,0,1,0,0,0,0,2,59.45,780.85,1.0,0
18,0,0,1,0,56,1,0,1,0,0,0,0,1,1,0,0,1,89.7,4952.95,0.0,0
19,1,0,0,0,28,1,0,2,1,0,0,1,0,0,1,0,1,54.3,1546.3,0.0,0
20,0,0,0,0,35,1,0,1,1,0,0,1,0,1,1,1,0,89.2,3251.3,0.0,0
21,0,0,0,0,20,1,0,0,2,2,2,2,2,2,2,1,1,19.7,419.4,0.0,0
22,0,0,0,0,12,1,0,1,0,0,0,0,1,0,0,1,0,81.45,912.0,0.0,0
23,1,0,1,0,60,0,2,2,1,1,0,1,0,0,2,0,2,37.7,2288.7,1.0,0
24,1,0,0,0,72,1,1,1,1,1,1,1,1,1,2,1,3,112.75,8192.6,1.0,0
25,1,0,0,0,59,1,1,0,2,2,2,2,2,2,2,0,0,24.45,1493.1,0.0,0
26,0,0,1,1,7,1,0,0,2,2,2,2,2,2,1,0,1,20.65,150.0,0.0,0
27,0,0,1,1,26,1,0,2,0,0,1,0,0,0,1,0,1,50.35,1285.8,0.0,0
28,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.05,20.05,0.0,0
29,0,1,1,1,71,1,0,1,1,1,1,0,0,0,1,1,2,86.7,6179.35,1.0,0
30,0,0,1,1,7,1,0,2,1,0,0,0,1,1,0,0,3,69.7,516.15,1.0,0
31,0,0,1,1,70,0,2,2,0,1,1,1,1,1,1,0,0,60.35,4138.7,0.0,0
32,1,0,0,1,19,1,0,0,2,2,2,2,2,2,2,0,1,20.5,398.55,0.0,0
33,0,0,1,0,72,1,1,1,0,1,1,1,1,1,2,1,3,110.6,7962.2,1.0,0
34,1,0,0,0,2,1,0,0,2,2,2,2,2,2,0,0,1,20.1,39.8,0.0,0
35,0,0,0,0,50,1,0,1,1,1,1,1,0,0,1,1,3,90.1,4549.45,1.0,0
36,0,0,1,1,11,1,0,0,2,2,2,2,2,2,2,0,1,19.65,225.75,0.0,0
37,0,0,1,1,9,1,0,2,0,1,0,1,0,0,0,0,1,54.8,452.8,0.0,0
38,1,0,1,0,17,1,1,1,0,0,0,0,1,1,0,0,0,92.6,1579.7,0.0,0
39,1,0,1,0,26,1,0,2,0,1,1,1,1,1,0,0,2,81.9,2078.55,1.0,0
40,0,0,1,1,12,1,0,0,2,2,2,2,2,2,0,1,0,21.15,306.05,0.0,0
41,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,83.4,83.4,0.0,0
42,1,0,0,0,15,1,0,0,2,2,2,2,2,2,0,0,1,19.9,320.45,0.0,0
43,1,0,1,1,72,1,0,0,2,2,2,2,2,2,2,0,2,19.55,1463.45,1.0,0
44,1,0,1,1,5,1,0,2,0,0,0,0,0,0,0,0,1,44.8,220.45,0.0,0
45,0,0,1,1,24,1,0,0,2,2,2,2,2,2,1,1,3,20.8,469.65,1.0,0
